X,Y,id,CARRETERA,CENTRO,NOMBRE,MUNICIPIO,SALIDAS,ESQUEMA,FOTO,FECHA,icon_url
-16.2773887934755,28.4425817824485,"404",TF4,CM04,ROTONDA COSTA SUR,SANTA CRUZ DE TENERIFE,3 CIRCUITOS,,IMAGENES/TF4/TF4_CM04_ROTONDA_COSTA_SUR.jpg,2020/07/12,./0.png
-16.2688103659907,28.4558457219982,"100",TF1,CM00,PANCHO CAMURRIA,SANTA CRUZ DE TENERIFE,2 PERMANENTE + 4 NUBLADO + 2 SOLEADO,,IMAGENES/TF1/TF1_CM00_PANCHO_CAMURRIA.jpg,2020/07/12,./0.png
-16.2696790957882,28.4546542565494,"501",TF5,CM01,BUENOS AIRES,SANTA CRUZ DE TENERIFE,3 CIRCUITOS + 3 RESERVA,,IMAGENES/TF5/TF5_CM01_BUENOS_AIRES.jpg,2020/07/12,./0.png
-16.2817321137564,28.4482626533284,"502",TF5,CM02,CARRIL DE FRENADO,SANTA CRUZ DE TENERIFE,6 CIRCUITOS,,IMAGENES/TF5/TF5_CM02_CARRIL_FRENADO.jpg,2020/07/12,./0.png
-16.2904708724176,28.4469443786188,"503",TF5,CM03,TACO,SANTA CRUZ DE TENERIFE,4 CIRCUITOS + 1 RESERVA,,IMAGENES/TF5/TF5_CM03_TACO.jpg,2020/07/12,./0.png
-16.2939402962589,28.4565090619169,"504",TF5,CM04,HOSPITAL,SAN CRISTOBAL DE LA LAGUNA,5 CIRCUITOS,,IMAGENES/TF5/TF5_CM04_HOSPITAL.jpg,2020/07/12,./0.png
-16.3016948891637,28.4641275304535,"505",TF5,CM05,LOS MAJUELOS,SAN CRISTOBAL DE LA LAGUNA,6 CIRCUITOS,,IMAGENES/TF5/TF5_CM05_LOS_MAJUELOS.jpg,2020/07/12,./0.png
-16.30275061297,28.466099279438,"506",TF5,CM06,LAS CHUMBERAS,SAN CRISTOBAL DE LA LAGUNA,2 CIRCUITOS,,IMAGENES/TF5/TF5_CM06_LAS_CHUMBERAS.jpg,2020/07/12,./0.png
-16.3096107929597,28.4727733573728,"507",TF5,CM07,GUAJARA,SAN CRISTOBAL DE LA LAGUNA,4 CIRCUITOS,,IMAGENES/TF5/TF5_CM07_GUAJARA.jpg,2020/07/12,./0.png
-16.3186825098386,28.4811657321954,"508",TF5,CM08,PADRE ANCHIETA,SAN CRISTOBAL DE LA LAGUNA,2 PERMANENTE + 1 SOLEADO + 3 ROTONDA,,IMAGENES/TF5/TF5_CM08_PADRE_ANCHIETA.jpg,2020/07/12,./0.png
-16.3226317045987,28.4853557467843,"509",TF5,CM09,SAN BENITO,SAN CRISTOBAL DE LA LAGUNA,10 CIRCUITOS,,IMAGENES/TF5/TF5_CM09_SAN_BENITO.jpg,2020/07/12,./0.png
-16.3377148752626,28.4881228388095,"510",TF5,CM10,SAN LAZARO,SAN CRISTOBAL DE LA LAGUNA,18 CIRCUITOS,,IMAGENES/TF5/TF5_CM10_SAN_LAZARO.jpg,2020/07/12,./0.png
-16.3562786262586,28.4909344659335,"511",TF5,CM11,PORTEZUELO,SAN CRISTOBAL DE LA LAGUNA,8 CIRCUITOS,,IMAGENES/TF5/TF5_CM11_PORTEZUELO.jpg,2020/07/12,./0.png
-16.3733644296424,28.491505762312,"512",TF5,CM12,GUAMASA,SAN CRISTOBAL DE LA LAGUNA,13 CIRCUITOS,,IMAGENES/TF5/TF5_CM12_GUAMASA.jpg,2020/07/12,./0.png
-16.3829159394079,28.4870737577156,"513",TF5,CM13,JUNTO A GASOLINERA,TACORONTE,4 CIRCUITOS,,IMAGENES/TF5/TF5_CM13_GASOLINERA.jpg,2020/07/12,./0.png
-16.3967384062702,28.4813802696121,"514",TF5,CM14,M30,TACORONTE,7 CIRCUITOS + 1 RESERVA,,IMAGENES/TF5/TF5_CM14_M30.jpg,2020/07/12,./0.png
-16.4091566205649,28.4761455413803,"517",TF5,CM17,TACORONTE,TACORONTE,5 CIRCUITOS,,IMAGENES/TF5/TF5_CM17_TACORONTE.jpg,2020/07/12,./0.png
-16.5139632982799,28.4037441597996,"523",TF5,CM23,BOLLULLO,LA OROTAVA,7 CIRCUITOS,,IMAGENES/TF5/TF5_CM23_BOLLULLO.jpg,2020/07/12,./0.png
-16.5401279569794,28.396644078757,"525",TF5,CM25,SAN JERONIMO,LA OROTAVA,7 CIRCUITOS,,IMAGENES/TF5/TF5_CM25_SAN_JERONIMO.jpg,2020/07/12,./0.png
-16.3732558121922,28.4902093672471,"512",TF5,CM12.1,SUBCUADRO ROTONDA,SAN CRISTÓBAL DE LA LAGUNA,2 CIRCUITOS,,IMAGENES/TF5/TF5_CM12.1.jpg,2020/07/17,./0.png
-16.3713354341468,28.4917352917306,"512",TF5,CM12.2,SUBCUADRO CARRETERA GENERAL,SAN CRISTOBAL DE LA LAGUNA,2 CIRCUITOS,,IMAGENES/TF5/TF5_CM12.2.jpg,2020/07/17,./0.png
